"Ward No","Ward Name","Sub Division","Division","Assembly Constituency","Zone Name","Park Name","Latitude ","Longitude","Square Meter","","","","","","","","",""
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","3rd Cross, Industriel area in Yelahanka Newtown Park","13.104875","77.575532","0.00","","","","","","","","",""
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","Deo Marvel layout 5th Main park","13.113181","77.567815","0.00","","","","","","","","",""
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","Deo Marvel layout  5th Main park","13.113273","77.568146","0.00","","","","","","","","",""
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","GKVK Layout Park No 2","13.08208","77.604375","0.00","","","","","","","","",""
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","3rd and 4th Cross park in MCEHS layout","13.071487","77.626653","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","12th and 13th Cross B Sector P B 5 in Yelahanka Newtown","13.095703","77.581462","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","3rd and 4th Main P A 2 in Yelahanka Newtown","13.095818","77.581634","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","6th and 7th Main Opp to RTO Office P B 1 in Yelahanka Newtown","13.09893","77.582574","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","GKVK Park Judicial layout  in Yelahanka","13.083063","77.587478","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","6th and 7th Main OM Prakruthi park P B 2 in Yelahanka Newtown","13.096737","77.579928","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","3rd and 4th Main P B 4 in Yelahanka Newtown","13.095797","77.581688","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","4th and 5th Cross P A 5 in Yelahanka Newtown","13.097427","77.586505","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","Telecome Layout JNIAS park","13.069705","77.610673","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","11th Main 5th Cross A Sector in Yelahanka Newtown P A 1","13.095515","77.586215","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","Judicial layout","13.082259","77.586865","0.00","","","","","","","","",""
