wellnessCentreName,latitude,longitude
SARITA VIHAR,28.53862,77.300666809082
VASANT KUNJ,28.522001,77.169532775879
Vasant Vihar,28.55403,77.162887573242
HOMEOPATHIC WC KALKAJI-I,28.5397,77.260032653809
Sarojini Nagar Unani,28.576881,77.201316833496
Naraina Vihar (Unani),28.624931,77.143447875977
Vijay Nagar,28.98993,77.704414367676
S K Road,28.974173,77.720962524414
AbuLane Meerut,28.997238,77.702239990234
Vijay Nagar Meerut,28.986092,77.709587097168
Bajaj Nagar,26.874372,75.80387878418
BANI PARK,26.926512,75.786041259766
GSI Colony,26.84535,75.818283081055
Jammu,32.72272,74.858489990234
Phulenagar,18.551428,73.821502685547
Range Hills,18.550385,73.841209411621
Homeopathic Camp Pune,18.504625,73.87451171875
Ambarnath,19.212654,73.185966491699
CBD Belapur,19.026836,73.028305053711
WAKOLA,19.08297,72.857559204102
Peddar Road,18.972956,72.810279846191
Worli,19.003506,72.813682556152
Ghatkopar,19.090258,72.909286499023
WADALA,19.017803,72.855796813965
Koliwada,19.029572,72.86637878418
Salt Lake AF,22.598293,88.421539306641
Tollygunj,22.489405,88.35319519043
Doverlane,22.518232,88.35807800293
B/ Kalighat,22.522116,88.347503662109
Bidhan Sarani,22.699827,88.367286682129
Mint Colony,22.514448,88.319763183594
Panbazar,26.185768,91.745620727539
Wellness Centre Laitumkhrah,25.567507,91.902336120605
GUINDY,13.010337,80.221733093262
KK NAGAR,13.036907,80.207878112793
NANDAMBAKKAM,13.01473,80.195114135742
VEPERY,13.079123,80.240783691406
Kendranchal,26.400698,80.342697143555
Lucknow2,26.886131,80.951431274414
Aishbagh,26.848011,80.90119934082
Kendranchal Colony,25.454859,81.777359008789
Budhmarg,25.607672,85.133659362793
Kankarbagh,25.603031,85.153518676758
Boring Canal Road,25.61814,85.123092651367
SURYANCHAL BHANDRA GHAT,25.60989,85.206169128418
PMG Square,20.274715,85.835983276367
Seminary Hills,21.15836,79.057510375977
Itwari,21.151142,79.118995666504
Sai Mandir,21.112846,79.069778442383
